Jobs
những ngành liên quan đến thời trang ạ
Em vẫn đang tìm hiểu
Em muốn học ngành y và trở thành bác sĩ ạ.
bác sĩ
em vẫn còn đang tìm hiểu bản thân nhiều hơn nên em chưa có câu trả lời chính xác cho câu hỏi này
Em chưa quyết định được sẽ làm ngành nghề gì
chưa biết
Em muốn được trở thành một giảng viên đại học
em hi vọng sẽ theo ngành liên quan đến y dược hoặc sinh - hoá ạ.
Ngành nghề về ngôn ngữ và ngoại giao
Data scientist
Quán lý nhân sự
Kỹ thuật máy tính
Công nghiệp thực phẩm
Em muốn theo ngành Y ạ.
AI
Sau này em muốn làm bác sỹ tâm lý
Ngành tâm lí học
Phiên dịch viên
Dạ em muốn làm Web Developer
Hiện tại em chưa có định hướng rõ ràng ạ.
Sau này em muốn làm Software Engineer hoặc là một Data Scientist.
Em chưa biết ạ.
Em muốn làm mảng Music production.
Công an
Em muốn làm 1 trong các ngành nghề sau: kinh doanh/giáo dục/khoa học xã hội và nhân văn.
bác sĩ ạ
biên kịch sân khấu điện ảnh
âm nhạc
Kinh tế
Em muốn làm luật sư.
em chưa biết ạ
nhà địa chất
IT
Kiến trúc
ngành điện ảnh
chưa biết ạ
Hướng dẫn viên du lịch
Kinh doanh
Hướng dẫn viên du lịch
giáo viên
Kế toán
Ngành khoa học máy tính
Marketing
"Bác sĩ, nhà ngoại giao"
kĩ sư
các ngành nghề liên quan đến nông nghiệp
ngành kế toán
báo chí
kiến trúc
Em vẫn chưa xác định được ạ
Em vẫn chưa xác định
Ngành nào đó liên quan tới lập trình và máy tính
Bác sĩ
Ngành ngôn ngữ Anh
"Pastry Chef, họa sĩ"
tổ chức sự kiện
Bác sĩ
Em đang định hướng học và theo đuổi các ngành liên quan đến Logistics.
Kinh doanh
Marketing
Nha sĩ
Lập trình game
Ngành biên phiên dịch ngôn ngữ Anh ạ
ca sĩ
Một ngành nghề nào đó ở lĩnh vực kinh tế
Ca sĩ
"Em chưa biết nhưng chắc là nghề liên quan đến nghệ thuật như vẽ, chơi nhạc cụ..."
(private)
Phiên dịch viên ạ
Hiện tại thì em chưa xác định được nhưng em có một sự yêu thích khá lớn đối với ngành Y Dược ạ.
bác sĩ
Luật sư
kỹ sư
kinh doanh
Psychiatrist or an interpreter
Kiến trúc sư
Dạ kiến trúc sư.
em muốn làm Marketing
Dạ em chưa quyết định ạ.
Computer science
truyền thông
em muốn trở thành bác sĩ
Marketing
Công nghệ thông tin
Em muốn học kinh tế ạ
quản trị kinh doanh
Sau này em muốn làm Bác Sĩ.
Marketing
thiết kế thời trang
"Sau này, em muốn làm ngành y ạ."
An English Teacher
"em cũng muốn phát triển bản thân và tính tò mò, học hỏi nên em định sẽ vào những ngành về kinh tế, kinh doanh hoặc y ạ"
Sau này em muốn làm ngành nghề mà em cảm thấy mình có khả năng nhất.
Bác sĩ tâm lí
"Hiện tại em vẫn chưa có niềm đam mê thật sự với ngành nghê gì, nhưng em vẫn luôn mong mình có thể trở thành bác sĩ để cứu giúp mọi người."
Bác sĩ
nhân viên văn phòng
kinh doanh
"Lập trình viên, phi công"
Người mẫu
làm về mảng cơ khí
Em chưa biết
maybe là IT ạ ;-;
Em chưa xác định được
Dược sĩ
Marketing
thiết kế đồ họa
Em nghĩ em sẽ làm những công việc tự do
Chưa biết
Kiến trúc sư
Dược sĩ
Giáo viên Tiếng Anh
Lập trình viên
liên quan đến công nghệ hoặc thể thao
Em muốn làm bác sĩ
Em chưa có dự định cho ngành nghề của mình
Bác sĩ
kiến trúc sư
Em không biết nữa ạ
Kinh doanh ạ
Bác sĩ
Bác sĩ
Thiết kế đồ họa
Em chưa có dự định cho nghề nghiệp của mình
Sĩ quan quân đội
Sau này em muốn làm dược sĩ ạ
vẽ
Kỹ thuật điện ạ
IT
Bác Sĩ
Ngoại giao
Bác sĩ phục hồi chức năng
Em chưa quyết định
Chưa có định hướng
Data Scientist
/
Bác sĩ
Ngành y
giáo viên
Lập trình viên
Neuroscientist
Giáo viên
Em muốn trở thành một chuyên gia tâm lý
Lập trình viên
Bác sĩ hoặc nhà nghiên cứu
Bác sĩ
Em vẫn chưa biết sau này em muốn làm gì ạ
Nhà nghiên cứu Sinh học
Em chưa định hướng được bản thân thích làm nghề nghiệp gì ạ
Ngành Y Tế và Sức khoẻ
Em chưa biết ạ.
Đang tìm hiểu về ngành kinh tế dữ liệu và một số ngành khác
Bác sĩ
Dược
Lập trình viên
hiện tại chưa chắc
em chưa có định hướng
.
Dược sĩ
em muốn học phiên dịch
Dược sĩ
Bác sĩ
Thiết kế đồ họa
bác sĩ
Nha sĩ
Ngành y dược
Kinh doanh
Em muốn làm quản trị kinh doanh ạ
Dạ em chưa xác định rõ được ạ.
em muốn làm làm về phân tích tài chính nhưng có liên quan tới al
Em vẫn chưa định hướng được ạ.
thiết kế đồ họa ạ :D
Kỹ thuật hóa học hoặc bác sĩ ạ
kol hoặc là doanh nhân
Bất dộng sản ạ
Luật
Giáo viên
Kinh tế
Kiến trúc
Nghiên cứu khoa học
Bác sĩ phẫu thuậy
Em muốn tham gia vào chuyên ngành Robotics và kỹ sư hệ thống Robot ạ.
Bác sĩ
Dạ hiện tại thì em cũng chưa shy nghĩ ra ạ.
Đầu bếp
Em muốn làm trong ngành y.
Em muốn làm streamer ạ
Em chưa định hướng được ạ
Sau này em muốn làm nghề xã hội.
Thiết kế đồ hoạ/nội thất hoặc ca sĩ ạ
Phiên dịch viên
"markeitng, lập trình"
Kỹ sư hoá mỹ phẩm
Em chưa quyết định kĩ ạ
Machine Learning Engineer
kinh doanh
Ngành quản trị kinh doanh
Bác sĩ
Bác sĩ
Giáo viên
Kinh tế
Em muốn làm về ngành y( nha sĩ)
kỹ sư ạ
"Dạ con sẽ làm nghề liên quan đến báo chí, truyền thông hoặc du lịch, lữ hành ạ <3"
Lâp trình viên
Lập trình viên trí tuệ nhân tạo
Ngành dược
Kỹ sư xây dựng
Dược sĩ
Giáo viên
Dạ bác sĩ
"Em muốn làm nghề thuộc lĩnh vực Báo Chí, Ngôn Ngữ"
ngành logistics
Ngành Truyền Thông hoặc Quản trị kinh doanh
Về tài chính
Sau này em muốn làm ngành tâm lí học tội phạm
Thiết kế đồ hoạ
Ngành hoá học mỹ phẩm ạ
Công nghệ thông tin
Quan hệ quốc tế
bán xà phòng ạ
Bác sĩ ạ
Bác sĩ.
Em đang phân vân
Bác sĩ
Phi hành gia
Bác sĩ
"Kiểm toán, marketing"
ngành trí tuệ nhân tạo
luật sư
công nghệ thông tin
"ngành y, nha sĩ/bác sĩ"
Kỹ sư điện
Báo chí
Em chưa xác định ạ
"có thể nó hơi viễn vông nhưng em muốn làm chuyên gia về AI, vận dụng AI vào việc xử lí dữ liệu lớn, đa dữ liệu một cách nhanh chóng. Cũng như là build thêm nhiều những model xử lí dữ liệu cho những doanh nghiệp sử dụng. Vì em cảm thấy ngành data science và analyst chưa được phổ biến cho lắm, và bản chất của 2 ngành này rất có ích cho xã hội."
bác sĩ
bác sĩ
Dạ em chưa nghĩ tới
em muốn làm nghề liên quan đến đồ họa máy tính ạ
Giáo viên Ngữ Văn ạ
Em chưa biết ạ.
Biomedical engineer
Kỹ
Nghiên cứu
bác sĩ
em chưa có định hướng cụ thể ạ
Bác sĩ
giáo viên
giáo viên Tiếng Anh
nhân viên ngân hàng
Em chưa biết
Graphic Designer
Bác sĩ
Em muốn làm bác sĩ hoặc làm về phim ạ
da em chưa biết ạ
Dược sĩ
em mở công ty kinh doanh và làm trong ngành luật
Ngành vi tính
Lập trình viên
"marketing, phiên dịch"
Em chưa quyết định được
em muốn làm nghề liên quan đến máy móc và hóa học
Ngành quản trị kinh doanh
Làm game
Chưa biết
tâm lý học
Em vẫn chưa xác định được chính xác
Bác Sĩ
Dạ em muốn làm ngành nghề liên quan đến ngôn ngữ ạ
Em vẫn đang phân vân ạ.
Em muốn được mở tiệm bánh và tiệm cafe
"Ngành Toán (có thể liên quan đến lập trình, trí tuệ nhân tạo) ạ"
Bác sĩ ạ
Dạ Neuroscientist hoặc bác sĩ ạ
Kiến trúc sư
Dạ em chưa biết ạ
Dạ em chưa nghĩ tới ạaa
Ngoại giao
Công nghệ thông tin
Data analysist
Ngành báo chí hoặc Marketing ạ
Bác sĩ
Kinh doanh
kinh tế/ biên phiên dịch
Bác sĩ
em chưa có suy nghĩ đến
chưa dự tính
Dạ em chưa biết.
Em chưa có định hướng
Dạ quản trị kinh doanh
Ngành Y ạ
Công chức nhà nước
Em có mong muốn được trở thành phi hành gia.
Giảng viên sư phạm
Em vẫn chưa có hướng đi nhưng dự định là các nghành về công nghệ tin học ạ.
Bác sĩ
Bác sĩ
Dược sĩ
Kiến trúc sư
em mong muốn làm về thiên văn học
Ngành y
Em muốn làm bên lĩnh vực hóa mỹ phẩm/hóa thực phẩm
nghiên cứu sinh
em muốn làm bác sĩ ạ
"Dạ em chưa biết ạ, không biết mình giỏi ngành nghề và yêu thích ngành nghề gì ạ"
Công nghiệp thực phẩm
một công việc có ảnh hưởng 1 chút giữa văn phòng và công tác nước ngoài ạ (có lẽ là quảng trị kinh doanh ạ)
Em chưa có định hướng rõ ràng cho mình nhưng có lẽ là em muốn làm bác sĩ
ngành liên quan đến kinh tế
Chưa có định hướng nghề nhưng em muốn học tài chính hoặc mảketing ạ
Kinh tế
bác sĩ
Founder của một cái brand mỹ phẩm riêng
Sau này em muốn làm ngành nghề liên quan đến khoa học
ngành y
Lập trình viên
Em vẫn đang tìm hiểu các ngành nghề ạ
Bác Sĩ ạ
Ngành nghề liên quan đến Kinh Tế và Ngoại thương ạ
phi công ạ
lập trình viên
Em chưa có dự tính gì ạ
Dạ là Kinh tế ạ

Có lẽ em sẽ theo ngành luật hoặc tâm lý học
Sau này em muốn làm một luật sư.
Bác sĩ
Kiến trúc sư ạ
Công nghệ thông tin
bác sĩ ạ
Dạ em chưa xác định rõ ạ.
Em chưa biết ạ.
Dạ bác sĩ
Y dược
Bác sĩ
Dạ bác sĩ ạ
Em hong biết
Dạ không biết
"Dạ em muốn làm Marketing, Quản lý Nhân sự hoặc Truyền thông ạ."
Dạ em muốn học về những ngành về công nghệ hóa học và sinh học tuy nhiên em cũng muốn nghiên cứu về mảng lập trình thưa thầy
phân tích viên về lĩnh vực tài chính
Có thể nghiên cứu AI cho y học ( nhưng em chưa biết cụ thể ạ)
Em chưa quyết định được và còn nhiều phân vân
giáo viên bộ môn Toán
Bác Sĩ ạ
em theo y ạ
Thiết kế đồ hoạ
Luật sư
"Đầu bếp, nhà thiết kế thời trang, nhà sử học"
em chưa biết ạ
bác sĩ
Bác sĩ
làm kinh doanh
Y Dược ạ
Lập trình viên
Em muốn làm nha sĩ ạ
"Em muốn làm về ngoại thương, thương mại, kinh tế."
kinh doanh
Dạ ngành thuộc lĩnh vực y học hoặc marketing ạ.
Em chưa rõ
giáo viên hoặc truyền thông ạ
Em chưa biết.
Bác sĩ
Em muốn học về ngành tâm lí ạ
Dược sĩ
Doanh nhân
Bác sĩ
Chưa biết ạ
"bác sĩ,dược sĩ"
Truyền thông
Bác Sĩ
kế toán
hóa thực phẩm
Em vẫn chưa rõ nữa ạ
Thiết kế thời trang ạ
Thiết kế thời trang
IT
Bác sĩ
Bác sĩ
Giáo viên
Bác sĩ / nghiên cứu y học
Những ngành liên quan đến nghiên cứu và em có hứng thú với cả pháp y.
Em đang suy xét ạ
Dược sĩ
quản lý tài chính
Bác sĩ
Ngành liên quan đến Hóa dược.
Thiết kế
Bác sĩ
Em muốn làm một doanh nhân
Marketing
Em chưa có dự định cho nghề nghiệp của mình
Em có dự định làm kiến trúc sư.
Bác Sĩ
Ngành Y
em chưa biết ạ
y dược
Em muốn làm bác sĩ ạ
em chưa biết ạ
Em vẫn chưa biết sau này muốn làm ngành nghề gì ạ
Bác sĩ
kinh doanh và start up
Dạ em muốn học quản trị kinh doanh. Tuy nhiên em muốn nghiên cứu các sản phẩm riêng và nếu được sẽ tự khởi nghiệp về mảng công nghệ
"Em vẫn chưa xác định được ạ, nhưng mà em đang cân nhắc ngành Kinh tế đối ngoại"
Bác sĩ
Chuyên viên phân tích hoặc là kinh doanh
Dược sĩ ạ
Những ngành thiên về nghệ thuật và giáo dục
Về tâm lý ạ
em cũng chưa rõ nhưng nếu được em muốn làm phát thanh viên
kinh doanh
Biochemistry
Kỹ thuật y sinh (Biomedical engineering hay BME)
Theo ngành Toán ạ
Dạ em muốn làm nghề kiến trúc ạ
dược sĩ ạ
Dạ em muốn làm bác sĩ ạ
Aerospace engineering
Em chưa biết ạ
Giáo viên
dạ em muốn học ngành y ạ
Sau này em muốn theo ngành kinh tế
Kế toán kiểm toán
Ca sĩ kiêm nhạc sĩ và guitarist
dạ em chưa suy nghĩ tới ạ
Quản trị Kinh doanh
Em muốn làm ngành nghề liên quan đến động vật.
"Bác sĩ, kĩ sư"
Bác sĩ
Kế toán
Em có ý định vào ngành tâm lí học ạ.
Ngành Y tế và Sức khoẻ
Ngành tâm lí học tội phạm ạ
Dạ Bác Sĩ
ngành ngoại thương
Giáo viên hoặc những công việc sáng tạo tự do
Bác sĩ
hiện tại em muốn làm ngành nghệ thuật về lĩnh vực âm nhạc ạ
em chua định hướng ạ
Dạ em muốn vào ngành y ạ
Marketing
IT
Kinh tế - Quản lý
Dạ có thể là giáo viên ạ
Em có dự định theo ngành Y dược
em chưa biết mình sẽ đi theo ngành gì
Dạ em làm bác sĩ
em vẫn chưa biết ạ
Kinh doanh hoặc làm về công nghệ
Em chưa biết ạ
Làm trong ngành Tài chính.
em chưa có dự định
em chua biết
"I.T, business"
IT =)) e nghĩ thế =)))
Chưa có dự định ạ
Truyền thông hoặc Y ạ
"Em có dự định trở thành Digital Artist, Freelancer"
Dạ sau này em muốn làm bác sĩ phẫu thuật ạ.
Bác sĩ
Marketing manager.
dạ là luật sư ạ
em muốn làm về ngành công nghệ và nghiên cứu sinh học
Marketing
Marketing và nhà sáng tạo ra các ứng dụng giúp ít cho cuộc sống sinh hoạt hằng ngày của mọi người.
chưa rõ
em muốn học công nghệ thông tin ạ
Bác sĩ
Lập trình viên
Em muốn làm bên kinh doanh ạ
Giáo viên hoá học
Kinh tế
Em đang định làm ngành công nghệ thông tin hoặc cũng có thể sư phạm.
Bác sĩ
Hiện tại em vẫn đang trong quá trình tìm kiếm đam mê cũng như xác định ngành nghề yêu thích ạ.
Em muốn làm biên-phiên dịch ạ.
Giáo viên
Dạ là Giáo Viên
Em muốn làm ngành tâm lý học
Data analysist
Em muốn trở thành bác sĩ
Em muốn theo ngành quản trị kinh doanh ạ
Ngành y
Nhà tổ chức sự kiện
Hiện tại em đang cân nhắc việc học ngành Luật.
cơ khí
Em muốn làm nhà văn
Hiện tại thì em vẫn còn đang phân vân
Thiết kế đồ hoạ
Bác sĩ và thiết kế
Marketing
em muốn học về Báo chí truyền thông hoặc Sư phạm Văn ạ
Computer Science
dạ em chưa nghĩ tới
bác sĩ/ IT
IT / Giáo viên Toán
dạ em chưa rõ nhưng sẽ thiên về kinh doanh ạ
cơ khí
ngành dược
CEO
kinh doanh
Em dự định sẽ làm về ngành dược trong tương lai ạ
Em chưa biết ạ
Bác sĩ
Em vẫn đang xác định ạ.
Giáo viên toán
chưa biết
Lập trình viên
Sau này em muốn làm nhà Sinh học phân tử (nhà nghiên cứu Sinh học) ạ.
Dạ em chưa biết nữa
Computer Science ạ
Truyền thông ạ
Dạ kinh tế ạ
"Em muốn học các ngành liên quan đến máy tính, đặc biệt là về AI."
IT
Em chưa chắc chắn ạ.
Bác sĩ
ngành nghề về hóa học
dạ em muốn kinh doanh ạ
Ngành Y
Em muốn học ngành thiết kế đồ họa.
Ngành Y khoa
Dạ em muốn làm nha sĩ
Bác sĩ
Ngành Truyền Thông ạ
Em chưa xác định rõ ạ
Logistics hoặc Accouting
em muốn làm lập trình viên
Em chưa suy nghĩ đến
Quản lý-Kinh Doanh
Ngành sư phạm hoặc công nghệ thông tin
Nhà nghiên cứu phần mềm AI
Kinh doanh
Em muốn đi theo ngành y ạ
Bác sĩ
kinh doanh dược
Dancer
Bác sĩ
Kĩ sư hóa học
Em chưa xác định
Bác sĩ
Em chưa xác định chính xác nhưng em đang mong muốn ngành nghề bên khối B ạ.
x
Em muốn làm bác sĩ ạ
Ngành kinh doanh quốc tế
Giáo viên
Em chưa biết
Ngành y
giáo viên
bác sĩ
Giáo viên ạ
Dạ em chưa rõ.
"Y dược, kĩ thuật hóa học"
Kỹ sư máy tính hoặc bác sĩ (em chưa chắc lắm)
CEO
Bác sĩ
Giáo viên
Chắc là luật ạ
Giáo viên
em muốn làm IT
Bác sĩ
em chưa biết ạ
IT
lập trình game
Sau này em muốn làm cảnh sát
"Bác sĩ, nhà nghiên cưu"
Kinh doanh
Em chưa biết
Y
Giáo viên
Khoa học máy tính
"Em vẫn chưa đưa ra quyết định cuối cùng nhưng ngành nghề em dự định hoặc liên quan đến Y, hoặc liên quan đến kinh tế ạ."
Em chưa quyết định nhưng có thể liên quan đến Y Dược hoặc kinh tế ạ.
Em có định hướng 3 ngành nghề Luật - Tổ Chức Sự Kiện và Quản Lí Khách Sạn ạ
Bác sĩ
Bác sĩ
Machine learning
Nhà báo
em muốn làm nhiếp ảnh gia hoặc chủ tiệm bánh ạ
Sau này em muốn làm giáo viên dạy tiếng Anh
Giáo viên
em chưa biết ạ
lập trình
Dạ em có í định theo ngành crypto.
Bác sĩ
designer
Bác sĩ
Kĩ sư
DƯỢC
dạ em chưa có định hướng
Luật sư
Kinh doanh
